time,open,high,low,close,"SP500, S&P DOW JONES INDICES LLC: Open","SP500, S&P DOW JONES INDICES LLC: High","SP500, S&P DOW JONES INDICES LLC: Low","SP500, S&P DOW JONES INDICES LLC: Close",Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,EMA,EMA,EMA2,EMA3,Histogram,MACD,Signal,K,D,MF
1622727000,141.39,141.85,140.75,141.6,4192.85,4192.85,4192.85,4192.85,6124824,8703447.65,6124824,8703447.65,6124824,8703447.65,6124824,8703447.65,6124824,8703447.65,6124824,8703447.65,141.60687963240923,141.39745837841514,140.9935814096164,139.84578119240203,-0.05023347505423392,0.7058817003601803,0.7561151754144142,60.86290307564436,72.1997123462459,55.797066365590986
1622813400,141.46,142.29,141.25,141.85,4229.89,4229.89,4229.89,4229.89,4545272,8659013.65,4545272,8659013.65,4545272,8659013.65,4545272,8659013.65,4545272,8659013.65,4545272,8659013.65,141.66090638076273,141.46210718149868,141.07143764510582,139.91736043553053,-0.056160774296796,0.6859142075434193,0.7420749818402153,55.77682153355135,63.130156225854655,55.54316220322524
1623072600,141.85,141.97,140.39,140.9,4226.52,4226.52,4226.52,4226.52,5543628,8546054.8,5543628,8546054.8,5543628,8546054.8,5543628,8546054.8,5543628,8546054.8,5543628,8546054.8,141.49181607392657,141.3818061555703,141.05585240464166,139.95245470569014,-0.12432398662782318,0.5866699985554362,0.7109939851832594,38.72157899285674,51.78710120068414,55.95370474813218
1623159000,140.51,140.9,139.81,139.83,4227.26,4227.26,4227.26,4227.26,6706856,8442935.35,6706856,8442935.35,6706856,8442935.35,6706856,8442935.35,6706856,8442935.35,6706856,8442935.35,141.122523613054,141.1601195619174,140.94441127694697,139.94808132334407,-0.23529699549238337,0.41687274081778014,0.6521697363101635,21.27488563066679,38.59109538569162,45.06120929268747
1623245400,139.34,140.01,139.03,139.08,4219.55,4219.55,4219.55,4219.55,5695127,8286622.75,5695127,8286622.75,5695127,8286622.75,5695127,8286622.75,5695127,8286622.75,5695127,8286622.75,140.66862947681977,140.86295962450063,140.77491934267906,139.91707841893893,-0.34632702509164215,0.21926095494561082,0.565587980037253,1.1842378929335004e-14,19.998821541174507,47.61129515937147
1623331800,139.08,140.19,139.08,139.88,4239.18,4239.18,4239.18,4239.18,5459459,8126288.5,5459459,8126288.5,5459459,8126288.5,5459459,8126288.5,5459459,8126288.5,5459459,8126288.5,140.49337848197092,140.72253682100055,140.69356303879914,139.9157541896911,-0.3518656883003949,0.12575586966175933,0.4776215579621542,8.86897583990904,10.047953823525281,55.12922118146308
1623418200,140.23,140.85,139.86,140.75,4247.44,4247.44,4247.44,4247.44,8410824,8188827.05,8410824,8188827.05,8410824,8188827.05,8410824,8188827.05,8410824,8188827.05,8410824,8188827.05,140.5504054859774,140.72646013228618,140.6986936716356,139.94554868291644,-0.2857248513393432,0.12046549378797522,0.40619034512731844,26.571301957400024,11.81342593243636,55.422743887832404
1623677400,140.93,140.93,140.0301,140.56,4255.15,4255.15,4255.15,4255.15,5046896,8172977.1,5046896,8172977.1,5046896,8172977.1,5046896,8172977.1,5046896,8172977.1,5046896,8172977.1,140.55253760020463,140.70268011338814,140.68608515603236,139.96749337281227,-0.24511940321494102,0.09979109110864215,0.34491049432358317,42.326940056946306,25.922405951418455,61.074032576557435
1623763800,140.84,140.91,139.66,140,4246.59,4246.59,4246.59,4246.59,6442392,8167167.45,6442392,8167167.45,6442392,8167167.45,6442392,8167167.45,6442392,8167167.45,6442392,8167167.45,140.42975146682582,140.60229724004697,140.62371377821123,139.96865432378326,-0.2457015057087103,0.037783612187695326,0.2834851178964056,43.977033557116364,37.62509185715423,54.42879668071906
1623850200,139.85,140.04,136.97,137.15,4223.7,4223.7,4223.7,4223.7,9598343,7677356.65,9598343,7677356.65,9598343,7677356.65,9598343,7677356.65,9598343,7677356.65,9598343,7677356.65,139.7009178075312,140.10911192004025,140.30792161655566,139.86798809793385,-0.41765109893052665,-0.2385787557667527,0.17907234316377396,26.274707439625384,37.52622701789602,46.67224270804871
1623936600,137,138.35,136.71,137.72,4221.86,4221.86,4221.86,4221.86,6447279,7418474.6,6447279,7418474.6,6447279,7418474.6,6447279,7418474.6,6447279,7418474.6,6447279,7418474.6,139.26071385030204,139.76781021717736,140.0726560150506,139.79127423729335,-0.46878831199774673,-0.40691304683340945,0.06187526516433728,15.452371822033863,28.56803760625854,32.33847517373103
1624023000,135.44,136.388,134.4,135.17,4166.45,4166.45,4166.45,4166.45,14937577,7656340.9,14937577,7656340.9,14937577,7656340.9,14937577,7656340.9,14937577,7656340.9,14937577,7656340.9,138.3516663280127,139.110980186152,139.62696001368235,139.62622872881857,-0.6395646162215869,-0.7375805051126463,-0.09801588889105944,4.933302481954768,15.553460581204668,29.968997241719592
1624282200,135.66,136.75,135.35,136.4,4224.79,4224.79,4224.79,4224.79,6925023,7620467.8,6925023,7620467.8,6925023,7620467.8,6925023,7620467.8,6925023,7620467.8,6925023,7620467.8,137.91796269956544,138.723697302416,139.3336000124385,139.51100627421792,-0.6336875425643563,-0.8901253170965049,-0.25643777453214855,13.383988577034927,11.256554293674519,36.86009057208592
1624368600,136.23,137.72,136.23,137.03,4246.44,4246.44,4246.44,4246.44,6368954,7623149.7,6368954,7623149.7,6368954,7623149.7,6368954,7623149.7,6368954,7623149.7,6368954,7623149.7,137.72063765521756,138.48174054492802,139.12418182948954,139.42239890728158,-0.5542419361077209,-0.9492401946667997,-0.3949982585590788,20.949620600231608,13.088970553073766,43.863046978066066
1624455000,136.5,136.99,135.93,135.96,4241.84,4241.84,4241.84,4241.84,6463517,7587907.35,6463517,7587907.35,6463517,7587907.35,6463517,7587907.35,6463517,7587907.35,6463517,7587907.35,137.32938484294698,138.12149189565258,138.8365289358996,139.2987418034501,-0.5400764675258802,-1.070093842966429,-0.5300173754405488,28.965162752219072,21.099590643161868,37.46919108446546
1624541400,136.17,137.24,136.1,136.91,4266.49,4266.49,4266.49,4266.49,7814653,7657071.5,7814653,7657071.5,7814653,7657071.5,7814653,7657071.5,7814653,7657071.5,7814653,7657071.5,137.23618821118097,137.94842162484508,138.6613899417269,139.21342959618403,-0.4374272775204773,-1.0768014723411454,-0.6393741948206682,38.1771960027927,29.36399311841446,39.354049986424435
1624627800,137.13,138.86,136.92,138.53,4280.7,4280.7,4280.7,4280.7,9546936,7191469.9,9546936,7191469.9,9546936,7191469.9,9546936,7191469.9,9546936,7191469.9,9546936,7191469.9,137.52370194202965,138.03150424986723,138.6494454015699,139.1890213963203,-0.24094442529543014,-0.9405547264399559,-0.6996103011445257,54.88574408112299,40.67603427871159,46.93499069993859
