time,open,high,low,close,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,EMA,EMA,EMA2,EMA3,Histogram,MACD,Signal,K,D,MF
1131028200,48,48.13,47.13,47.45,16028500,14254140.65,16028500,14254140.65,16028500,14254140.65,16028500,14254140.65,16028500,14254140.65,16028500,14254140.65,46.63160647594104,46.208952864861295,45.784658945852634,45.724950522255995,0.25330313490276474,0.63878842192522,0.38548528702245527,92.40519975777552,86.9711102243889,73.51762392744735
1131114600,47.39999,47.75,47.08,47.69,10470898,14164690.65,10470898,14164690.65,10470898,14164690.65,10470898,14164690.65,10470898,14164690.65,10470898,14164690.65,46.86680503684303,46.42053102702397,45.95787176895694,45.79513086074685,0.2546311087862701,0.7037741730052929,0.4491430642190228,97.87353943969542,94.91021054559236,68.22265720329108
1131373800,47.92,48.19,47.75,48.05,12175102,13828095.35,12175102,13828095.35,12175102,13828095.35,12175102,13828095.35,12175102,13828095.35,12175102,13828095.35,47.129737250877916,46.65331230887769,46.14806524450631,45.87566190143446,0.2609948810005275,0.7753866654696822,0.5143917844691547,97.95330731846941,96.0773488386468,68.36914481026886
1131460200,47.8,47.85001,47.37,47.61,7506199,13345480.5,7506199,13345480.5,7506199,13345480.5,7506199,13345480.5,7506199,13345480.5,7506199,13345480.5,47.23646230623838,46.78998197903802,46.28096840409665,45.9376025478118,0.21853240341199553,0.7875572887341491,0.5690248853221536,92.31485752269093,96.04723476028528,62.75542597535258
1131546600,47.53,48.37,47.32001,48.2,13428301,13229765.45,13428301,13229765.45,13428301,13229765.45,13428301,13229765.45,13428301,13229765.45,13428301,13229765.45,47.450581793740966,46.99141312488973,46.45542582190604,46.01840245681852,0.21292664579009146,0.8351831925597679,0.6222565467696765,90.03376590849366,93.43397691655134,61.776218845257084
1131633000,48.25,49.3,48.14999,49.03999,18937392,13553840.15,18937392,13553840.15,18937392,13553840.15,18937392,13553840.15,18937392,13553840.15,18937392,13553840.15,47.803783617354085,47.2840669641912,46.690386201732764,46.12631629764643,0.2461843041689522,0.9299869269808667,0.6838026228119145,90.03376590849366,90.79412977989277,70.06609667492005
1131719400,49.16,49.48,48.77,49,12118398,13566870,12118398,13566870,12118398,13566870,12118398,13566870,12118398,13566870,12118398,13566870,48.06960948016429,47.529200255021024,46.90035109248433,46.228947858444776,0.24533800574627906,0.9904751299947634,0.7451371242484843,97.0843952472933,92.38397568809357,70.4551133558923
1131978600,49.41,49.69,49.00999,49.3,13834199,13768864.9,13834199,13768864.9,13834199,13768864.9,13834199,13768864.9,13834199,13768864.9,13834199,13768864.9,48.34302959568333,47.78217164716088,47.11850099316757,46.338628292071746,0.24429856484510049,1.05051033030486,0.8062117654597595,99.36548686149057,95.49454933909253,78.09719547404413
1132065000,48.8,49.12,48.31,48.78,16849808,14011950.2,16849808,14011950.2,16849808,14011950.2,16849808,14011950.2,16849808,14011950.2,16849808,14011950.2,48.440134129975924,47.92471855470932,47.269546357425064,46.42582013878347,0.19030526501353318,1.044093346726676,0.8537880817131428,91.24220828669614,95.89736346516003,75.74597598577591
1132151400,48.78,49.2,48.33,48.88,11759301,13746675.25,11759301,13746675.25,11759301,13746675.25,11759301,13746675.25,11759301,13746675.25,11759301,13746675.25,48.537882101092386,48.06118733260799,47.415951234022785,46.5134694195412,0.14508513766117936,1.035144503789617,0.8900593661284376,81.57108628701154,90.72626047839945,81.84797130340272
